id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
108;;700;;8.1402627;0.017;55.2146879;0.02;120.2180548;-7.557562;00 32 33.670;+55 12 53.01;418230038249829248;418230038249829248;2887;2562;3658-2230-1
109;?;740;;8.1799104;4.964;38.8436698;4.499;118.9470937;-23.8832091;00 32 43.196;+38 50 37.69;379070278788053760;379070278788053760;2923;2576;2784-98-1
110;;760;;8.1836958;0.031;-13.4870502;0.025;104.2448663;-75.6758194;00 32 44.091;-13 29 13.48;2375215565792552064;2375215565792552064;2957;2579;5271-306-1
111;?;730;;8.2226447;0.013;57.1848693;0.015;120.408986;-5.5959962;00 32 53.398;+57 11 05.50;418831539835312384;418831539835312384;2907;2591;3662-576-1
112;?;810;;8.3483488;0.022;-71.2662996;0.021;305.0080116;-45.7891428;00 33 23.352;-71 15 58.45;4690231525639747072;4690231525639747072;3112;2629;9138-521-1
113;;770;;8.3544564;0.017;52.3503579;0.016;120.135708;-10.423529;00 33 25.082;+52 21 01.27;416320147894314368;416320152195771520;-99.99;-99.99;3260-162-1
114;;790;;8.3713499;0.089;-0.6089134;0.056;112.9612965;-63.1325973;00 33 29.135;-00 36 31.67;2542786394907092736;2542786394907092736;3024;2641;4672-1256-1
115;;750;;8.4996544;0.011;76.7490738;0.011;121.9033145;13.9121658;00 33 59.946;+76 44 56.68;540063520107973120;540063520107973120;-99.99;-99.99;4492-1487-1
116;;820;;8.6152186;0.015;-36.6302138;0.014;322.6090175;-79.8407398;00 34 27.639;-36 37 49.02;5003938960595657984;5003938960595657984;3135;-99.99;6997-193-1
117;;800;;8.7702433;0.018;77.5008093;0.017;122.0178676;14.6580983;00 35 04.832;+77 30 03.10;564130489609920768;564130489609920768;3036;2749;4496-2306-1
118;;830;;8.856686;0.009;60.4424058;0.01;120.9568775;-2.3679296;00 35 25.611;+60 26 32.72;428593480800958976;428593480800958976;236470;-99.99;4016-1768-1
119;?;840;;8.8849924;0.01;62.5484623;0.011;121.1008259;-0.2667518;00 35 32.388;+62 32 54.48;430687092681614720;430687092681614720;-99.99;-99.99;4020-664-1
120;;850;;8.8925724;0.013;57.2076643;0.015;120.77438;-5.5975985;00 35 34.220;+57 12 27.70;424821228202284800;424821228202284800;236471;2791;3662-792-1
121;;870;A;8.9147313;0.563;34.4795614;0.374;119.2398217;-28.2790459;00 35 39.498;+34 28 46.42;365056625134636416;365056625134636416;3212;2801;2270-1049-1
122;;860;;8.9486731;0.017;55.707233;0.022;120.7126426;-7.097095;00 35 47.672;+55 42 26.10;418586348739630080;418586348739630080;3200;2813;3658-1338-1
123;;890;;8.9998891;0.018;-18.7639812;0.016;99.1293186;-80.913857;00 35 59.989;-18 45 50.16;2363878295240728448;2363878295240728448;3311;-99.99;5849-53-1
124;;910;;9.028224;0.03;-22.8425645;0.017;83.0869899;-84.4848644;00 36 06.868;-22 50 32.28;2348342573897042304;2348342573897042304;3326;2852;6421-443-1
125;;900;;9.0838341;0.191;27.254713;0.119;118.8087009;-35.4960973;00 36 20.100;+27 15 17.02;2809483729180628352;2809483729180628352;3322;2865;1741-427-1
126;;880;;9.088236;0.036;58.1054203;0.043;120.933646;-4.7077889;00 36 21.171;+58 06 19.55;424970147612819072;424970147612819072;-99.99;-99.99;3662-2500-1
127;;920;;9.2216533;0.019;33.709424;0.018;119.46999;-29.0644942;00 36 53.172;+33 42 34.06;364936224316342912;364936224316342912;3369B;-99.99;2279-1666-1
128;;980;;9.3476279;0.018;-75.6067283;0.017;304.0966591;-41.4897376;00 37 23.365;-75 36 24.60;4684659922266171648;4684659922266171648;3601;2947;9346-580-1
129;;930;;9.3734809;0.013;21.9199133;0.009;118.6561333;-40.8360428;00 37 29.609;+21 55 11.60;2802699703781692288;2802699703781692288;3448;2952;1193-487-1
130;*;940;;9.5320653;0.016;51.4582172;0.013;120.8179452;-11.3588937;00 38 07.683;+51 27 29.67;415706349828073728;415706349828073728;3473;-99.99;3261-1423-1
131;?;950;;9.5844347;0.042;-14.9983838;0.035;108.1690674;-77.4930697;00 38 20.254;-14 59 54.16;2374058948278905344;2374058948279890048;-99.99;3013;5271-1721-1
132;?;960;;9.6039549;0.023;-24.6630348;0.013;72.3002869;-86.172269;00 38 24.900;-24 39 46.83;2347268454116005888;2347268454116005888;3559;-99.99;6421-1208-1
133;*;970;;9.6327956;0.039;-20.2965514;0.023;98.8785321;-82.5580158;00 38 31.856;-20 17 47.63;2362727140925957120;2362727140925957120;3580;3025;5849-2453-1
